"Taxon","Scientific_Name","Short_Name"
"Alternanthera philoxeroides","Alternanthera philoxeroides (Mart.) Griseb.","Alternanthera_philoxeroides"
"Amaranthus australis","Amaranthus australis (A. Gray) Sauer","Amaranthus_australis"
"Andropogon glomeratus","Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.","Andropogon_glomeratus"
"Avicennia germinans","Avicennia germinans (L.) L.","Avicennia_germinans"
"Baccharis halimifolia","Baccharis halimifolia L.","Baccharis_halimifolia"
"Bacopa monnieri","Bacopa monnieri (L.) Pennell","Bacopa_monnieri"
"Bidens laevis","Bidens laevis (L.) Britton, Sterns & Poggenb.","Bidens_laevis"
"Boehmeria cylindrica","Boehmeria cylindrica (L.) Sw.","Boehmeria_cylindrica"
"Bolboschoenus robustus","Bolboschoenus robustus (Pursh) Soják","Bolboschoenus_robustus"
"Carex comosa","Carex comosa Boott","Carex_comosa"
"Cephalanthus occidentalis","Cephalanthus occidentalis L.","Cephalanthus_occidentalis"
"Cicuta maculata","Cicuta maculata L.","Cicuta_maculata"
"Cladium mariscus","Cladium mariscus (L.) Pohl","Cladium_mariscus"
"Colocasia esculenta","Colocasia esculenta (L.) Schott","Colocasia_esculenta"
"Cyperus filicinus","Cyperus filicinus Vahl","Cyperus_filicinus"
"Cyperus haspan","Cyperus haspan L.","Cyperus_haspan"
"Cyperus odoratus","Cyperus odoratus L.","Cyperus_odoratus"
"Decodon verticillatus","Decodon verticillatus (L.) Elliott","Decodon_verticillatus"
"Distichlis spicata","Distichlis spicata (L.) Greene","Distichlis_spicata"
"Echinochloa crus-galli","Echinochloa crus-galli (L.) P. Beauv.","Echinochloa_crus_galli"
"Echinochloa walteri","Echinochloa walteri (Pursh) A. Heller","Echinochloa_walteri"
"Eclipta prostrata","Eclipta prostrata (L.) L.","Eclipta_prostrata"
"Eleocharis baldwinii","Eleocharis baldwinii (Torr.) Chapm.","Eleocharis_baldwinii"
"Eleocharis cellulosa","Eleocharis cellulosa Torr.","Eleocharis_cellulosa"
"Eleocharis macrostachya","Eleocharis macrostachya Britton","Eleocharis_macrostachya"
"Eleocharis montana","Eleocharis montana (Kunth) Roem. & Schult.","Eleocharis_montana"
"Eleocharis parvula","Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer","Eleocharis_parvula"
"Eupatorium capillifolium","Eupatorium capillifolium (Lam.) Small","Eupatorium_capillifolium"
"Galium tinctorium","Galium tinctorium (L.) Scop.","Galium_tinctorium"
"Hydrocotyle ranunculoides","Hydrocotyle ranunculoides L. f.","Hydrocotyle_ranunculoides"
"Hydrocotyle umbellata","Hydrocotyle umbellata L.","Hydrocotyle_umbellata"
"Ipomoea sagittata","Ipomoea sagittata Poir.","Ipomoea_sagittata"
"Iva frutescens","Iva frutescens L.","Iva_frutescens"
"Juncus roemerianus","Juncus roemerianus Scheele","Juncus_roemerianus"
"Kosteletzkya virginica","Kosteletzkya virginica (L.) C. Presl ex A. Gray","Kosteletzkya_virginica"
"Leersia hexandra","Leersia hexandra Sw.","Leersia_hexandra"
"Ludwigia alata","Ludwigia alata Elliott","Ludwigia_alata"
"Ludwigia grandiflora","Ludwigia grandiflora (Michx.) Greuter & Burdet","Ludwigia_grandiflora"
"Ludwigia leptocarpa","Ludwigia leptocarpa (Nutt.) H. Hara","Ludwigia_leptocarpa"
"Ludwigia peploides","Ludwigia peploides (Kunth) P.H. Raven","Ludwigia_peploides"
"Lythrum lineare","Lythrum lineare L.","Lythrum_lineare"
"Mikania scandens","Mikania scandens (L.) Willd.","Mikania_scandens"
"Morella cerifera","Morella cerifera (L.) Small","Morella_cerifera"
"Panicum dichotomiflorum","Panicum dichotomiflorum Michx.","Panicum_dichotomiflorum"
"Panicum hemitomon","Panicum hemitomon Schult.","Panicum_hemitomon"
"Panicum repens","Panicum repens L.","Panicum_repens"
"Panicum virgatum","Panicum virgatum L.","Panicum_virgatum"
"Paspalum vaginatum","Paspalum vaginatum Sw.","Paspalum_vaginatum"
"Phragmites australis","Phragmites australis (Cav.) Trin. ex Steud.","Phragmites_australis"
"Phyla lanceolata","Phyla lanceolata (Michx.) Greene","Phyla_lanceolata"
"Pluchea odorata","Pluchea odorata (L.) Cass.","Pluchea_odorata"
"Polygonum hydropiperoides","Polygonum hydropiperoides Michx.","Polygonum_hydropiperoides"
"Polygonum punctatum","Polygonum punctatum Elliott","Polygonum_punctatum"
"Pontederia cordata","Pontederia cordata L.","Pontederia_cordata"
"Rhynchospora colorata","Rhynchospora colorata (L.) H. Pfeiffer","Rhynchospora_colorata"
"Saccharum giganteum","Saccharum giganteum (Walter) Pers.","Saccharum_giganteum"
"Sacciolepis striata","Sacciolepis striata (L.) Nash","Sacciolepis_striata"
"Sagittaria lancifolia","Sagittaria lancifolia L.","Sagittaria_lancifolia"
"Sagittaria latifolia","Sagittaria latifolia Willd.","Sagittaria_latifolia"
"Sagittaria platyphylla","Sagittaria platyphylla (Engelm.) J.G. Sm.","Sagittaria_platyphylla"
"Salicornia depressa","Salicornia depressa Standl.","Salicornia_depressa"
"Salix nigra","Salix nigra Marshall","Salix_nigra"
"Saururus cernuus","Saururus cernuus L.","Saururus_cernuus"
"Schoenoplectus americanus","Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller","Schoenoplectus_americanus"
"Schoenoplectus californicus","Schoenoplectus californicus (C.A. Mey.) Palla","Schoenoplectus_californicus"
"Schoenoplectus tabernaemontani","Schoenoplectus tabernaemontani (C.C. Gmel.) Palla","Schoenoplectus_tabernaemontani"
"Sesbania drummondii","Sesbania drummondii (Rydb.) Cory","Sesbania_drummondii"
"Setaria parviflora","Setaria parviflora (Poir.) Kerguélen","Setaria_parviflora"
"Solidago sempervirens","Solidago sempervirens L.","Solidago_sempervirens"
"Spartina alterniflora","Spartina alterniflora Loisel.","Spartina_alterniflora"
"Spartina cynosuroides","Spartina cynosuroides (L.) Roth","Spartina_cynosuroides"
"Spartina patens","Spartina patens (Aiton) Muhl.","Spartina_patens"
"Symphyotrichum divaricatum","Symphyotrichum divaricatum (Nutt.) G.L. Nesom","Symphyotrichum_divaricatum"
"Symphyotrichum subulatum","Symphyotrichum subulatum (Michx.) G.L. Nesom","Symphyotrichum_subulatum"
"Symphyotrichum tenuifolium","Symphyotrichum tenuifolium (L.) G.L. Nesom","Symphyotrichum_tenuifolium"
"Thelypteris palustris","Thelypteris palustris Schott","Thelypteris_palustris"
"Triadenum virginicum","Triadenum virginicum (L.) Raf.","Triadenum_virginicum"
"Typha domingensis","Typha domingensis Pers.","Typha_domingensis"
"Typha latifolia","Typha latifolia L.","Typha_latifolia"
"Vigna luteola","Vigna luteola (Jacq.) Benth.","Vigna_luteola"
"Zizaniopsis miliacea","Zizaniopsis miliacea (Michx.) Döll & Asch.","Zizaniopsis_miliacea"
